PMC,x,y,z,x_mm,y_mm,z_mm,mineral_id,classification,parent_category
78,-0.14637,0.14163399999999998,0.250839,-146.37,141.63,250.84,7,Other,Other
79,-0.146367,0.140119,0.250733,-146.37,140.12,250.73,7,Other,Other
80,-0.14636300000000002,0.13860699999999998,0.250664,-146.36,138.61,250.66,4,Felsic,Felsic
81,-0.146373,0.137102,0.250807,-146.37,137.1,250.81,4,Felsic,Felsic
82,-0.146374,0.13559200000000002,0.250814,-146.37,135.59,250.81,4,Felsic,Felsic
83,-0.146361,0.134079,0.250526,-146.36,134.08,250.53,7,Other,Other
84,-0.146345,0.13257,0.250248,-146.34,132.57,250.25,4,Felsic,Felsic
85,-0.146359,0.131064,0.250447,-146.36,131.06,250.45,4,Felsic,Felsic
86,-0.146377,0.129554,0.250762,-146.38,129.55,250.76,4,Felsic,Felsic
87,-0.146375,0.128047,0.250666,-146.38,128.05,250.67,7,Other,Other
88,-0.14636400000000002,0.12654400000000002,0.250474,-146.36,126.54,250.47,4,Felsic,Felsic
89,-0.146352,0.125047,0.250198,-146.35,125.05,250.2,4,Felsic,Felsic
90,-0.14633,0.12355899999999999,0.249809,-146.33,123.56,249.81,4,Felsic,Felsic
91,-0.146312,0.12207799999999999,0.24941300000000002,-146.31,122.08,249.41,4,Felsic,Felsic
92,-0.146287,0.12060599999999999,0.248964,-146.29,120.61,248.96,4,Felsic,Felsic
93,-0.144819,0.12057000000000001,0.24955100000000002,-144.82,120.57,249.55,7,Other,Other
94,-0.14484,0.122047,0.24999699999999997,-144.84,122.05,250.0,4,Felsic,Felsic
95,-0.144861,0.12353399999999999,0.250381,-144.86,123.53,250.38,4,Felsic,Felsic
96,-0.144871,0.125032,0.250606,-144.87,125.03,250.61,3,Alt. Mafic,Mafic
97,-0.144878,0.126538,0.250684,-144.88,126.54,250.68,7,Other,Other
98,-0.144876,0.128047,0.250657,-144.88,128.05,250.66,4,Felsic,Felsic
99,-0.14488399999999999,0.129555,0.250742,-144.88,129.56,250.74,7,Other,Other
100,-0.14487,0.13106500000000001,0.250465,-144.87,131.07,250.46,4,Felsic,Felsic
101,-0.144877,0.132573,0.25054499999999996,-144.88,132.57,250.54,6,Alteration,Alteration
102,-0.14489100000000002,0.13408499999999998,0.25083,-144.89,134.08,250.83,4,Felsic,Felsic
103,-0.144893,0.135595,0.250815,-144.89,135.6,250.82,4,Felsic,Felsic
104,-0.144886,0.137101,0.250662,-144.89,137.1,250.66,4,Felsic,Felsic
105,-0.144894,0.13861400000000001,0.250753,-144.89,138.61,250.75,4,Felsic,Felsic
106,-0.14489000000000002,0.14012,0.250664,-144.89,140.12,250.66,7,Other,Other
107,-0.144897,0.14163299999999998,0.250734,-144.9,141.63,250.73,7,Other,Other
108,-0.143376,0.141624,0.25058,-143.38,141.62,250.58,7,Other,Other
109,-0.14338599999999999,0.140124,0.250766,-143.39,140.12,250.77,4,Felsic,Felsic
110,-0.14339100000000002,0.13861800000000002,0.250889,-143.39,138.62,250.89,4,Felsic,Felsic
111,-0.14339000000000002,0.137104,0.250773,-143.39,137.1,250.77,7,Other,Other
112,-0.14338800000000002,0.13559300000000002,0.250725,-143.39,135.59,250.72,3,Alt. Mafic,Mafic
113,-0.14339200000000002,0.13408399999999998,0.250758,-143.39,134.08,250.76,4,Felsic,Felsic
114,-0.14338900000000002,0.132574,0.250695,-143.39,132.57,250.7,7,Other,Other
115,-0.14339000000000002,0.13106600000000002,0.250628,-143.39,131.07,250.63,7,Other,Other
116,-0.14338900000000002,0.129558,0.250593,-143.39,129.56,250.59,7,Other,Other
117,-0.14339200000000002,0.12805,0.250589,-143.39,128.05,250.59,4,Felsic,Felsic
118,-0.143393,0.12654200000000002,0.250604,-143.39,126.54,250.6,7,Other,Other
119,-0.143406,0.125026,0.250837,-143.41,125.03,250.84,7,Other,Other
120,-0.143406,0.123517,0.250845,-143.41,123.52,250.84,7,Other,Other
121,-0.143398,0.122023,0.250533,-143.4,122.02,250.53,4,Felsic,Felsic
122,-0.14338199999999998,0.12054000000000001,0.250127,-143.38,120.54,250.13,3,Alt. Mafic,Mafic
123,-0.14189200000000002,0.12050999999999999,0.250609,-141.89,120.51,250.61,4,Felsic,Felsic
124,-0.141896,0.12201,0.25075,-141.9,122.01,250.75,4,Felsic,Felsic
125,-0.141905,0.123511,0.250956,-141.9,123.51,250.96,7,Other,Other
126,-0.141899,0.125027,0.250784,-141.9,125.03,250.78,7,Other,Other
127,-0.14189200000000002,0.126545,0.25049699999999997,-141.89,126.54,250.5,3,Alt. Mafic,Mafic
128,-0.141898,0.128048,0.250695,-141.9,128.05,250.7,7,Other,Other
129,-0.141898,0.12955899999999998,0.250587,-141.9,129.56,250.59,4,Felsic,Felsic
130,-0.141906,0.13106600000000002,0.25085,-141.91,131.07,250.85,7,Other,Other
131,-0.141902,0.132576,0.250629,-141.9,132.58,250.63,4,Felsic,Felsic
132,-0.141897,0.13408,0.250566,-141.9,134.08,250.57,3,Alt. Mafic,Mafic
133,-0.141903,0.13559200000000002,0.250724,-141.9,135.59,250.72,7,Other,Other
134,-0.141899,0.137098,0.250705,-141.9,137.1,250.7,7,Other,Other
135,-0.14189100000000002,0.138598,0.25046,-141.89,138.6,250.46,7,Other,Other
136,-0.14188599999999998,0.140099,0.250381,-141.89,140.1,250.38,3,Alt. Mafic,Mafic
137,-0.141881,0.141597,0.250197,-141.88,141.6,250.2,4,Felsic,Felsic
138,-0.14035799999999998,0.141572,0.249806,-140.36,141.57,249.81,4,Felsic,Felsic
139,-0.14036099999999999,0.140074,0.249925,-140.36,140.07,249.92,4,Felsic,Felsic
140,-0.14035999999999998,0.138569,0.24998499999999998,-140.36,138.57,249.98,7,Other,Other
141,-0.140362,0.137067,0.250066,-140.36,137.07,250.07,4,Felsic,Felsic
142,-0.14036099999999999,0.13555999999999999,0.250114,-140.36,135.56,250.11,4,Felsic,Felsic
143,-0.140373,0.134062,0.250604,-140.37,134.06,250.6,7,Other,Other
144,-0.140375,0.13255,0.250787,-140.38,132.55,250.79,4,Felsic,Felsic
145,-0.140374,0.13104000000000002,0.250767,-140.37,131.04,250.77,7,Other,Other
146,-0.140369,0.129529,0.250626,-140.37,129.53,250.63,4,Felsic,Felsic
147,-0.14036600000000002,0.128023,0.250487,-140.37,128.02,250.49,4,Felsic,Felsic
148,-0.140362,0.12651400000000002,0.25041599999999997,-140.36,126.51,250.42,4,Felsic,Felsic
149,-0.140371,0.12499600000000001,0.250768,-140.37,125.0,250.77,7,Other,Other
150,-0.140372,0.12347799999999999,0.25088,-140.37,123.48,250.88,7,Other,Other
151,-0.140373,0.121967,0.250909,-140.37,121.97,250.91,7,Other,Other
152,-0.140373,0.120449,0.250983,-140.37,120.45,250.98,4,Felsic,Felsic
153,-0.13886099999999998,0.12043699999999999,0.251164,-138.86,120.44,251.16,4,Felsic,Felsic
154,-0.13886199999999999,0.121931,0.251449,-138.86,121.93,251.45,7,Other,Other
155,-0.13885799999999998,0.123455,0.251218,-138.86,123.46,251.22,4,Felsic,Felsic
156,-0.138848,0.12497799999999999,0.25082899999999997,-138.85,124.98,250.83,4,Felsic,Felsic
157,-0.138846,0.12649000000000002,0.250742,-138.85,126.49,250.74,4,Felsic,Felsic
159,-0.13883399999999999,0.12800899999999998,0.250895,-138.83,128.01,250.9,4,Felsic,Felsic
160,-0.13883399999999999,0.12950899999999999,0.251103,-138.83,129.51,251.1,7,Other,Other
161,-0.138835,0.131012,0.251334,-138.83,131.01,251.33,4,Felsic,Felsic
162,-0.13883199999999998,0.132521,0.25116,-138.83,132.52,251.16,4,Felsic,Felsic
163,-0.138825,0.134022,0.250882,-138.83,134.02,250.88,4,Felsic,Felsic
164,-0.138817,0.135519,0.250407,-138.82,135.52,250.41,7,Other,Other
165,-0.13880599999999998,0.137004,0.24991999999999998,-138.81,137.0,249.92,7,Other,Other
166,-0.138803,0.138497,0.24976700000000002,-138.8,138.5,249.77,7,Other,Other
167,-0.1388,0.139988,0.249694,-138.8,139.99,249.69,4,Felsic,Felsic
168,-0.138798,0.14148,0.249596,-138.8,141.48,249.6,4,Felsic,Felsic
169,-0.137296,0.141483,0.249739,-137.3,141.48,249.74,4,Felsic,Felsic
170,-0.137297,0.139992,0.24989099999999997,-137.3,139.99,249.89,7,Other,Other
171,-0.137296,0.138494,0.25001799999999996,-137.3,138.49,250.02,4,Felsic,Felsic
172,-0.1373,0.137008,0.250472,-137.3,137.01,250.47,7,Other,Other
173,-0.137301,0.135508,0.25082600000000005,-137.3,135.51,250.83,7,Other,Other
174,-0.137303,0.134006,0.251116,-137.3,134.01,251.12,7,Other,Other
175,-0.137303,0.132495,0.251357,-137.3,132.5,251.36,7,Other,Other
176,-0.137304,0.130985,0.251461,-137.3,130.98,251.46,7,Other,Other
177,-0.1373,0.129474,0.251214,-137.3,129.47,251.21,7,Other,Other
178,-0.137299,0.12797,0.251056,-137.3,127.97,251.06,4,Felsic,Felsic
179,-0.137297,0.126461,0.250975,-137.3,126.46,250.98,7,Other,Other
180,-0.1373,0.124947,0.251218,-137.3,124.95,251.22,3,Alt. Mafic,Mafic
181,-0.137301,0.123422,0.251525,-137.3,123.42,251.52,4,Felsic,Felsic
182,-0.137302,0.12190899999999999,0.25158800000000003,-137.3,121.91,251.59,7,Other,Other
183,-0.137298,0.12041099999999999,0.251299,-137.3,120.41,251.3,4,Felsic,Felsic
184,-0.135785,0.120402,0.251432,-135.78,120.4,251.43,7,Other,Other
185,-0.13578199999999999,0.121895,0.251691,-135.78,121.9,251.69,7,Other,Other
186,-0.13578099999999999,0.12340899999999999,0.251623,-135.78,123.41,251.62,4,Felsic,Felsic
187,-0.135777,0.12492,0.25152800000000003,-135.78,124.92,251.53,7,Other,Other
188,-0.135776,0.126435,0.25137600000000004,-135.78,126.43,251.38,4,Felsic,Felsic
189,-0.135776,0.12795,0.251195,-135.78,127.95,251.2,7,Other,Other
190,-0.135773,0.129448,0.251255,-135.77,129.45,251.26,7,Other,Other
191,-0.135772,0.130959,0.251438,-135.77,130.96,251.44,7,Other,Other
192,-0.135769,0.132466,0.251359,-135.77,132.47,251.36,4,Felsic,Felsic
193,-0.135768,0.133975,0.251258,-135.77,133.98,251.26,7,Other,Other
194,-0.135765,0.135477,0.25111100000000003,-135.76,135.48,251.11,4,Felsic,Felsic
195,-0.13576400000000002,0.136977,0.250798,-135.76,136.98,250.8,7,Other,Other
196,-0.135761,0.138457,0.2502,-135.76,138.46,250.2,4,Felsic,Felsic
197,-0.135761,0.139958,0.250184,-135.76,139.96,250.18,4,Felsic,Felsic
198,-0.135758,0.141449,0.250056,-135.76,141.45,250.06,4,Felsic,Felsic
200,-0.134243,0.141502,0.25045300000000004,-134.24,141.5,250.45,7,Other,Other
201,-0.134243,0.13997,0.250035,-134.24,139.97,250.04,7,Other,Other
202,-0.134244,0.138463,0.25004499999999996,-134.24,138.46,250.04,7,Other,Other
203,-0.13423800000000002,0.136968,0.25054699999999996,-134.24,136.97,250.55,4,Felsic,Felsic
204,-0.134236,0.135465,0.250911,-134.24,135.46,250.91,4,Felsic,Felsic
205,-0.134233,0.133951,0.251143,-134.23,133.95,251.14,7,Other,Other
206,-0.134233,0.132436,0.251209,-134.23,132.44,251.21,4,Felsic,Felsic
207,-0.134232,0.130918,0.251154,-134.23,130.92,251.15,4,Felsic,Felsic
208,-0.134235,0.129407,0.250732,-134.23,129.41,250.73,6,Alteration,Alteration
209,-0.134234,0.127894,0.250847,-134.23,127.89,250.85,6,Alteration,Alteration
210,-0.134232,0.12637400000000001,0.251215,-134.23,126.37,251.22,4,Felsic,Felsic
211,-0.134231,0.124852,0.251413,-134.23,124.85,251.41,7,Other,Other
212,-0.134231,0.123331,0.251562,-134.23,123.33,251.56,7,Other,Other
213,-0.134231,0.121808,0.251661,-134.23,121.81,251.66,4,Felsic,Felsic
214,-0.134233,0.12029400000000001,0.25162199999999996,-134.23,120.29,251.62,4,Felsic,Felsic
215,-0.132711,0.12029400000000001,0.251602,-132.71,120.29,251.6,7,Other,Other
216,-0.132711,0.121815,0.25154499999999996,-132.71,121.82,251.54,4,Felsic,Felsic
217,-0.132712,0.12333699999999999,0.251427,-132.71,123.34,251.43,4,Felsic,Felsic
218,-0.132713,0.12485999999999994,0.251284,-132.71,124.86,251.28,4,Felsic,Felsic
219,-0.132714,0.12638,0.25111100000000003,-132.71,126.38,251.11,7,Other,Other
220,-0.132716,0.127899,0.25094299999999997,-132.72,127.9,250.94,7,Other,Other
221,-0.132719,0.129414,0.250677,-132.72,129.41,250.68,4,Felsic,Felsic
222,-0.132723,0.130927,0.250372,-132.72,130.93,250.37,1,Pyroxene,Mafic
223,-0.132719,0.132437,0.25059000000000003,-132.72,132.44,250.59,7,Other,Other
224,-0.132711,0.133955,0.25103200000000003,-132.71,133.95,251.03,4,Felsic,Felsic
225,-0.132716,0.135461,0.250658,-132.72,135.46,250.66,7,Other,Other
226,-0.13272,0.136965,0.250346,-132.72,136.96,250.35,7,Other,Other
227,-0.132725,0.138462,0.250015,-132.73,138.46,250.02,7,Other,Other
228,-0.132727,0.139959,0.249786,-132.73,139.96,249.79,7,Other,Other
229,-0.132724,0.141474,0.24996500000000002,-132.72,141.47,249.97,6,Alteration,Alteration
230,-0.13122,0.141459,0.249677,-131.22,141.46,249.68,4,Felsic,Felsic
231,-0.131217,0.13996199999999998,0.24984,-131.22,139.96,249.84,7,Other,Other
