PMC,x,y,z,x_mm,y_mm,z_mm,mineral_id,classification,parent_category
4,-0.139847,0.12821400000000002,0.24614699999999998,-139.85,128.21,246.15,2,Olivine,Mafic
5,-0.139767,0.1283,0.24616,-139.77,128.3,246.16,2,Olivine,Mafic
6,-0.139688,0.128397,0.2461760000000001,-139.69,128.4,246.18,2,Olivine,Mafic
7,-0.13960799999999998,0.128487,0.246196,-139.61,128.49,246.2,2,Olivine,Mafic
8,-0.13952699999999998,0.12858699999999998,0.246216,-139.53,128.59,246.22,2,Olivine,Mafic
9,-0.139448,0.12867699999999999,0.24626599999999998,-139.45,128.68,246.27,2,Olivine,Mafic
10,-0.13936700000000002,0.128778,0.246259,-139.37,128.78,246.26,2,Olivine,Mafic
11,-0.139287,0.128875,0.246252,-139.29,128.88,246.25,2,Olivine,Mafic
12,-0.139207,0.128965,0.24625,-139.21,128.96,246.25,1,Pyroxene,Mafic
13,-0.139126,0.12906600000000001,0.2462550000000001,-139.13,129.07,246.26,1,Pyroxene,Mafic
14,-0.139045,0.129156,0.246259,-139.05,129.16,246.26,7,Other,Other
15,-0.138966,0.129253,0.24625999999999998,-138.97,129.25,246.26,7,Other,Other
16,-0.13888499999999998,0.129354,0.246257,-138.88,129.35,246.26,1,Pyroxene,Mafic
17,-0.13880399999999998,0.129444,0.246256,-138.8,129.44,246.26,6,Alteration,Alteration
18,-0.138723,0.129545,0.2462530000000001,-138.72,129.54,246.25,1,Pyroxene,Mafic
19,-0.13864200000000002,0.129635,0.24625100000000005,-138.64,129.64,246.25,2,Olivine,Mafic
20,-0.13856300000000002,0.129732,0.24624899999999997,-138.56,129.73,246.25,2,Olivine,Mafic
21,-0.138482,0.129823,0.246245,-138.48,129.82,246.24,2,Olivine,Mafic
22,-0.138401,0.129923,0.246241,-138.4,129.92,246.24,2,Olivine,Mafic
23,-0.13832,0.130024,0.24623699999999998,-138.32,130.02,246.24,2,Olivine,Mafic
24,-0.138239,0.130114,0.24624200000000002,-138.24,130.11,246.24,2,Olivine,Mafic
25,-0.13815999999999998,0.130211,0.246246,-138.16,130.21,246.25,2,Olivine,Mafic
26,-0.138079,0.130302,0.24625,-138.08,130.3,246.25,2,Olivine,Mafic
27,-0.137988,0.130402,0.246254,-137.99,130.4,246.25,2,Olivine,Mafic
28,-0.137908,0.130493,0.246263,-137.91,130.49,246.26,2,Olivine,Mafic
29,-0.137829,0.13059,0.24627399999999997,-137.83,130.59,246.27,2,Olivine,Mafic
30,-0.137747,0.13069,0.246283,-137.75,130.69,246.28,2,Olivine,Mafic
31,-0.137667,0.130781,0.246292,-137.67,130.78,246.29,2,Olivine,Mafic
32,-0.13758599999999999,0.130881,0.2463,-137.59,130.88,246.3,2,Olivine,Mafic
33,-0.137506,0.130972,0.2463090000000001,-137.51,130.97,246.31,2,Olivine,Mafic
34,-0.137426,0.13106900000000002,0.246317,-137.43,131.07,246.32,2,Olivine,Mafic
35,-0.137346,0.131159,0.24632600000000002,-137.35,131.16,246.33,2,Olivine,Mafic
36,-0.137265,0.13126,0.246335,-137.26,131.26,246.34,2,Olivine,Mafic
37,-0.137184,0.13136,0.24634299999999998,-137.18,131.36,246.34,2,Olivine,Mafic
38,-0.137103,0.131451,0.246352,-137.1,131.45,246.35,2,Olivine,Mafic
39,-0.137024,0.131548,0.24635900000000002,-137.02,131.55,246.36,2,Olivine,Mafic
40,-0.136943,0.131638,0.246367,-136.94,131.64,246.37,2,Olivine,Mafic
41,-0.13686199999999998,0.13173900000000002,0.24636799999999998,-136.86,131.74,246.37,2,Olivine,Mafic
42,-0.13678099999999999,0.13183,0.24635700000000002,-136.78,131.83,246.36,2,Olivine,Mafic
43,-0.136702,0.131926,0.24634499999999998,-136.7,131.93,246.34,2,Olivine,Mafic
44,-0.136621,0.132027,0.246338,-136.62,132.03,246.34,2,Olivine,Mafic
45,-0.13654000000000002,0.132118,0.246331,-136.54,132.12,246.33,2,Olivine,Mafic
46,-0.136461,0.132215,0.246324,-136.46,132.22,246.32,2,Olivine,Mafic
47,-0.13638,0.132305,0.246317,-136.38,132.3,246.32,2,Olivine,Mafic
48,-0.136299,0.132406,0.24631,-136.3,132.41,246.31,2,Olivine,Mafic
49,-0.136218,0.13250699999999999,0.24630300000000002,-136.22,132.51,246.3,2,Olivine,Mafic
50,-0.13613699999999998,0.132597,0.24629600000000001,-136.14,132.6,246.3,2,Olivine,Mafic
51,-0.13605799999999998,0.132694,0.24628899999999998,-136.06,132.69,246.29,2,Olivine,Mafic
52,-0.135977,0.13278399999999999,0.246283,-135.98,132.78,246.28,1,Pyroxene,Mafic
53,-0.13589600000000002,0.132885,0.24627800000000002,-135.9,132.88,246.28,2,Olivine,Mafic
54,-0.13581500000000002,0.132976,0.24627399999999997,-135.82,132.98,246.27,7,Other,Other
55,-0.135735,0.133076,0.246286,-135.73,133.08,246.29,2,Olivine,Mafic
56,-0.13564500000000002,0.13317400000000001,0.246299,-135.65,133.17,246.3,2,Olivine,Mafic
57,-0.13556400000000002,0.13326400000000002,0.24631,-135.56,133.26,246.31,2,Olivine,Mafic
58,-0.135483,0.133365,0.24632199999999999,-135.48,133.36,246.32,2,Olivine,Mafic
59,-0.135402,0.133456,0.246333,-135.4,133.46,246.33,2,Olivine,Mafic
60,-0.135323,0.133553,0.24634499999999998,-135.32,133.55,246.34,2,Olivine,Mafic
61,-0.135232,0.133472,0.24635300000000002,-135.23,133.47,246.35,6,Alteration,Alteration
62,-0.13531300000000002,0.13337100000000002,0.24634099999999998,-135.31,133.37,246.34,2,Olivine,Mafic
63,-0.13539400000000001,0.13328099999999998,0.24633000000000002,-135.39,133.28,246.33,2,Olivine,Mafic
64,-0.135475,0.13318,0.24631799999999998,-135.48,133.18,246.32,2,Olivine,Mafic
65,-0.13555699999999998,0.13308599999999998,0.246306,-135.56,133.09,246.31,2,Olivine,Mafic
66,-0.13563699999999998,0.132985,0.246294,-135.64,132.98,246.29,2,Olivine,Mafic
67,-0.135718,0.132885,0.246283,-135.72,132.88,246.28,2,Olivine,Mafic
68,-0.135799,0.132794,0.246271,-135.8,132.79,246.27,2,Olivine,Mafic
69,-0.13588,0.132694,0.246267,-135.88,132.69,246.27,2,Olivine,Mafic
70,-0.135962,0.132599,0.24627399999999997,-135.96,132.6,246.27,2,Olivine,Mafic
71,-0.136043,0.132499,0.246285,-136.04,132.5,246.28,2,Olivine,Mafic
72,-0.136124,0.132399,0.246298,-136.12,132.4,246.3,2,Olivine,Mafic
73,-0.136204,0.13230799999999998,0.2463090000000001,-136.2,132.31,246.31,2,Olivine,Mafic
74,-0.136287,0.132204,0.24632300000000001,-136.29,132.2,246.32,2,Olivine,Mafic
75,-0.13636800000000002,0.132113,0.24633400000000005,-136.37,132.11,246.33,2,Olivine,Mafic
76,-0.136448,0.132012,0.24634699999999998,-136.45,132.01,246.35,2,Olivine,Mafic
77,-0.13652899999999998,0.131922,0.246358,-136.53,131.92,246.36,2,Olivine,Mafic
78,-0.13660999999999998,0.131822,0.246371,-136.61,131.82,246.37,2,Olivine,Mafic
79,-0.136692,0.131717,0.246385,-136.69,131.72,246.38,2,Olivine,Mafic
80,-0.136773,0.131627,0.246387,-136.77,131.63,246.39,2,Olivine,Mafic
81,-0.136854,0.131525,0.246375,-136.85,131.52,246.38,2,Olivine,Mafic
82,-0.136935,0.131436,0.24635500000000002,-136.94,131.44,246.36,2,Olivine,Mafic
83,-0.137025,0.13133499999999998,0.24634699999999998,-137.02,131.33,246.35,2,Olivine,Mafic
84,-0.13710799999999998,0.131241,0.24634,-137.11,131.24,246.34,2,Olivine,Mafic
85,-0.137188,0.13114,0.24633200000000002,-137.19,131.14,246.33,2,Olivine,Mafic
86,-0.137269,0.13104000000000002,0.246324,-137.27,131.04,246.32,2,Olivine,Mafic
87,-0.137351,0.130945,0.246317,-137.35,130.94,246.32,2,Olivine,Mafic
88,-0.137432,0.13084500000000002,0.24631,-137.43,130.85,246.31,2,Olivine,Mafic
89,-0.13751300000000002,0.13075499999999998,0.24630300000000002,-137.51,130.76,246.3,2,Olivine,Mafic
90,-0.137593,0.130653,0.246294,-137.59,130.65,246.29,2,Olivine,Mafic
91,-0.137674,0.130563,0.246286,-137.67,130.56,246.29,2,Olivine,Mafic
92,-0.137755,0.130462,0.246277,-137.76,130.46,246.28,7,Other,Other
93,-0.13783499999999999,0.13036199999999998,0.246267,-137.83,130.36,246.27,2,Olivine,Mafic
94,-0.137915,0.130272,0.246263,-137.92,130.27,246.26,2,Olivine,Mafic
95,-0.137996,0.130171,0.246259,-138.0,130.17,246.26,2,Olivine,Mafic
96,-0.138077,0.130081,0.2462550000000001,-138.08,130.08,246.26,2,Olivine,Mafic
97,-0.138157,0.12997999999999998,0.24625100000000005,-138.16,129.98,246.25,2,Olivine,Mafic
98,-0.138238,0.12989,0.246247,-138.24,129.89,246.25,2,Olivine,Mafic
99,-0.138319,0.12979000000000002,0.246247,-138.32,129.79,246.25,2,Olivine,Mafic
100,-0.138399,0.129689,0.24625100000000005,-138.4,129.69,246.25,2,Olivine,Mafic
101,-0.13848,0.129598,0.246254,-138.48,129.6,246.25,2,Olivine,Mafic
102,-0.138561,0.129498,0.246256,-138.56,129.5,246.26,2,Olivine,Mafic
103,-0.13864100000000001,0.129408,0.246258,-138.64,129.41,246.26,4,Felsic,Felsic
104,-0.138722,0.129307,0.24625999999999998,-138.72,129.31,246.26,7,Other,Other
105,-0.138803,0.129206,0.246263,-138.8,129.21,246.26,1,Pyroxene,Mafic
106,-0.13888399999999998,0.129116,0.246258,-138.88,129.12,246.26,1,Pyroxene,Mafic
107,-0.138964,0.12901600000000002,0.2462530000000001,-138.96,129.02,246.25,2,Olivine,Mafic
108,-0.139045,0.128925,0.24624899999999997,-139.05,128.93,246.25,1,Pyroxene,Mafic
109,-0.139125,0.128825,0.24624400000000002,-139.12,128.82,246.24,2,Olivine,Mafic
110,-0.139206,0.128734,0.24625,-139.21,128.73,246.25,2,Olivine,Mafic
111,-0.139297,0.128634,0.246258,-139.3,128.63,246.26,2,Olivine,Mafic
112,-0.139377,0.12853299999999998,0.24626399999999998,-139.38,128.53,246.26,2,Olivine,Mafic
113,-0.139458,0.128443,0.24623699999999998,-139.46,128.44,246.24,2,Olivine,Mafic
114,-0.13953800000000002,0.128343,0.246202,-139.54,128.34,246.2,2,Olivine,Mafic
115,-0.13961800000000002,0.128253,0.246182,-139.62,128.25,246.18,2,Olivine,Mafic
116,-0.139698,0.128153,0.246162,-139.7,128.15,246.16,2,Olivine,Mafic
117,-0.13977799999999999,0.128063,0.24614299999999997,-139.78,128.06,246.14,2,Olivine,Mafic
118,-0.139678,0.12798199999999998,0.24615700000000001,-139.68,127.98,246.16,2,Olivine,Mafic
119,-0.139597,0.128072,0.246177,-139.6,128.07,246.18,2,Olivine,Mafic
120,-0.139517,0.128173,0.24619699999999997,-139.52,128.17,246.2,2,Olivine,Mafic
121,-0.13943699999999998,0.128262,0.246273,-139.44,128.26,246.27,2,Olivine,Mafic
122,-0.139356,0.128363,0.24626599999999998,-139.36,128.36,246.27,2,Olivine,Mafic
123,-0.139275,0.12845299999999998,0.246259,-139.28,128.45,246.26,2,Olivine,Mafic
124,-0.139195,0.128554,0.2462530000000001,-139.2,128.55,246.25,2,Olivine,Mafic
125,-0.13911300000000001,0.128655,0.246246,-139.11,128.66,246.25,1,Pyroxene,Mafic
126,-0.139031,0.128746,0.24624000000000001,-139.03,128.75,246.24,2,Olivine,Mafic
127,-0.138951,0.12884600000000002,0.246245,-138.95,128.85,246.24,1,Pyroxene,Mafic
128,-0.13887,0.128937,0.24625,-138.87,128.94,246.25,2,Olivine,Mafic
129,-0.13878900000000002,0.12903699999999999,0.2462550000000001,-138.79,129.04,246.26,7,Other,Other
