PMC,x,y,z,x_mm,y_mm,z_mm,mineral_id,classification,parent_category
4,-0.141345,0.127496,0.244218,-141.34,127.5,244.22,1,Pyroxene,Mafic
5,-0.141264,0.127589,0.244092,-141.26,127.59,244.09,1,Pyroxene,Mafic
6,-0.141179,0.127692,0.243956,-141.18,127.69,243.96,1,Pyroxene,Mafic
7,-0.141095,0.12779400000000002,0.243833,-141.1,127.79,243.83,1,Pyroxene,Mafic
8,-0.141017,0.127883,0.243904,-141.02,127.88,243.9,2,Olivine,Mafic
9,-0.140948,0.127975,0.24429800000000002,-140.95,127.98,244.3,2,Olivine,Mafic
10,-0.140881,0.128058,0.244675,-140.88,128.06,244.68,4,Felsic,Felsic
11,-0.140802,0.128157,0.2447550000000001,-140.8,128.16,244.76,4,Felsic,Felsic
12,-0.140722,0.128248,0.244743,-140.72,128.25,244.74,4,Felsic,Felsic
13,-0.14064000000000002,0.128348,0.244729,-140.64,128.35,244.73,7,Other,Other
14,-0.140559,0.128449,0.244714,-140.56,128.45,244.71,2,Olivine,Mafic
15,-0.140481,0.12854000000000002,0.244702,-140.48,128.54,244.7,2,Olivine,Mafic
16,-0.1404,0.12864,0.24468800000000002,-140.4,128.64,244.69,2,Olivine,Mafic
17,-0.140309,0.12873099999999998,0.244677,-140.31,128.73,244.68,2,Olivine,Mafic
18,-0.140228,0.128831,0.24466300000000002,-140.23,128.83,244.66,2,Olivine,Mafic
19,-0.140147,0.128922,0.24466,-140.15,128.92,244.66,7,Other,Other
20,-0.14007,0.129022,0.24466300000000002,-140.07,129.02,244.66,1,Pyroxene,Mafic
21,-0.139989,0.12912200000000001,0.244667,-139.99,129.12,244.67,1,Pyroxene,Mafic
22,-0.139909,0.12921300000000002,0.24467199999999997,-139.91,129.21,244.67,1,Pyroxene,Mafic
23,-0.139825,0.129314,0.24455900000000005,-139.83,129.31,244.56,2,Olivine,Mafic
24,-0.139746,0.129406,0.244488,-139.75,129.41,244.49,2,Olivine,Mafic
25,-0.139664,0.12950699999999998,0.24441100000000002,-139.66,129.51,244.41,2,Olivine,Mafic
26,-0.13958199999999998,0.129598,0.244338,-139.58,129.6,244.34,2,Olivine,Mafic
27,-0.1395,0.129699,0.244261,-139.5,129.7,244.26,2,Olivine,Mafic
28,-0.13941800000000001,0.1298,0.24418499999999999,-139.42,129.8,244.18,1,Pyroxene,Mafic
29,-0.13933900000000002,0.12989,0.24411300000000002,-139.34,129.89,244.11,2,Olivine,Mafic
30,-0.139257,0.129991,0.24403699999999998,-139.26,129.99,244.04,2,Olivine,Mafic
31,-0.139175,0.130082,0.243964,-139.17,130.08,243.96,2,Olivine,Mafic
32,-0.139093,0.130182,0.24388800000000002,-139.09,130.18,243.89,2,Olivine,Mafic
33,-0.139012,0.130273,0.24381599999999998,-139.01,130.27,243.82,1,Pyroxene,Mafic
34,-0.138933,0.130373,0.24374,-138.93,130.37,243.74,2,Olivine,Mafic
35,-0.138853,0.130473,0.2437280000000001,-138.85,130.47,243.73,7,Other,Other
36,-0.138772,0.130563,0.243736,-138.77,130.56,243.74,1,Pyroxene,Mafic
37,-0.138694,0.130663,0.24382399999999999,-138.69,130.66,243.82,1,Pyroxene,Mafic
38,-0.13861800000000002,0.130752,0.243914,-138.62,130.75,243.91,1,Pyroxene,Mafic
39,-0.13853900000000002,0.130851,0.244019,-138.54,130.85,244.02,2,Olivine,Mafic
40,-0.13846,0.130941,0.244114,-138.46,130.94,244.11,1,Pyroxene,Mafic
41,-0.138381,0.13104100000000002,0.244219,-138.38,131.04,244.22,1,Pyroxene,Mafic
42,-0.138302,0.131141,0.24432399999999999,-138.3,131.14,244.32,1,Pyroxene,Mafic
43,-0.138225,0.131231,0.244419,-138.22,131.23,244.42,1,Pyroxene,Mafic
44,-0.138146,0.131331,0.244524,-138.15,131.33,244.52,1,Pyroxene,Mafic
45,-0.138067,0.131421,0.24461999999999998,-138.07,131.42,244.62,1,Pyroxene,Mafic
46,-0.137975,0.131522,0.244236,-137.98,131.52,244.24,1,Pyroxene,Mafic
47,-0.13788699999999998,0.131622,0.2436510000000001,-137.89,131.62,243.65,2,Olivine,Mafic
48,-0.13780599999999998,0.131712,0.243511,-137.81,131.71,243.51,1,Pyroxene,Mafic
49,-0.137727,0.13181199999999998,0.2437030000000001,-137.73,131.81,243.7,1,Pyroxene,Mafic
50,-0.137648,0.131902,0.243815,-137.65,131.9,243.82,1,Pyroxene,Mafic
51,-0.137572,0.132002,0.243937,-137.57,132.0,243.94,1,Pyroxene,Mafic
52,-0.137493,0.13209200000000001,0.244049,-137.49,132.09,244.05,1,Pyroxene,Mafic
53,-0.137414,0.132192,0.24417199999999997,-137.41,132.19,244.17,7,Other,Other
54,-0.13733399999999998,0.132293,0.24429499999999998,-137.33,132.29,244.3,2,Olivine,Mafic
55,-0.137255,0.132384,0.244408,-137.26,132.38,244.41,1,Pyroxene,Mafic
56,-0.137178,0.132485,0.24453000000000005,-137.18,132.48,244.53,1,Pyroxene,Mafic
57,-0.137098,0.132576,0.244644,-137.1,132.58,244.64,2,Olivine,Mafic
58,-0.137018,0.132676,0.244725,-137.02,132.68,244.72,2,Olivine,Mafic
59,-0.136938,0.132767,0.2447280000000001,-136.94,132.77,244.73,2,Olivine,Mafic
60,-0.13685999999999998,0.132868,0.24469000000000002,-136.86,132.87,244.69,2,Olivine,Mafic
61,-0.13677899999999998,0.132968,0.244652,-136.78,132.97,244.65,1,Pyroxene,Mafic
62,-0.13669800000000001,0.13305799999999998,0.244615,-136.7,133.06,244.62,2,Olivine,Mafic
63,-0.13661700000000002,0.133157,0.244577,-136.62,133.16,244.58,2,Olivine,Mafic
64,-0.136536,0.133248,0.244546,-136.54,133.25,244.55,1,Pyroxene,Mafic
65,-0.136458,0.133347,0.24451599999999998,-136.46,133.35,244.52,1,Pyroxene,Mafic
66,-0.136378,0.133438,0.24449,-136.38,133.44,244.49,2,Olivine,Mafic
67,-0.136297,0.13353800000000002,0.24445999999999998,-136.3,133.54,244.46,2,Olivine,Mafic
68,-0.136216,0.133638,0.24443099999999998,-136.22,133.64,244.43,2,Olivine,Mafic
69,-0.13613599999999998,0.13372699999999998,0.24436,-136.14,133.73,244.36,2,Olivine,Mafic
70,-0.13605799999999998,0.133825,0.24422199999999997,-136.06,133.82,244.22,2,Olivine,Mafic
71,-0.135977,0.133914,0.244087,-135.98,133.91,244.09,2,Olivine,Mafic
72,-0.13589600000000002,0.13401300000000002,0.24397199999999997,-135.9,134.01,243.97,2,Olivine,Mafic
73,-0.13581600000000002,0.134102,0.24391500000000002,-135.82,134.1,243.92,2,Olivine,Mafic
74,-0.135738,0.134202,0.24386599999999997,-135.74,134.2,243.87,2,Olivine,Mafic
75,-0.135648,0.134301,0.2438,-135.65,134.3,243.8,2,Olivine,Mafic
76,-0.135568,0.134389,0.243743,-135.57,134.39,243.74,2,Olivine,Mafic
77,-0.135487,0.134491,0.24380100000000002,-135.49,134.49,243.8,2,Olivine,Mafic
78,-0.135407,0.134582,0.243902,-135.41,134.58,243.9,2,Olivine,Mafic
79,-0.135329,0.134684,0.24401199999999998,-135.33,134.68,244.01,2,Olivine,Mafic
80,-0.135249,0.134786,0.24412399999999998,-135.25,134.79,244.12,2,Olivine,Mafic
81,-0.135168,0.134878,0.244225,-135.17,134.88,244.22,2,Olivine,Mafic
82,-0.13508699999999998,0.13498,0.24433600000000005,-135.09,134.98,244.34,1,Pyroxene,Mafic
83,-0.135006,0.135072,0.244437,-135.01,135.07,244.44,2,Olivine,Mafic
84,-0.134928,0.135174,0.244549,-134.93,135.17,244.55,2,Olivine,Mafic
85,-0.134847,0.135267,0.24465,-134.85,135.27,244.65,2,Olivine,Mafic
86,-0.134768,0.13535999999999998,0.24425999999999998,-134.77,135.36,244.26,2,Olivine,Mafic
87,-0.134694,0.135446,0.24359099999999997,-134.69,135.45,243.59,1,Pyroxene,Mafic
88,-0.134614,0.135534,0.243513,-134.61,135.53,243.51,1,Pyroxene,Mafic
89,-0.13453299999999999,0.13563599999999998,0.24361100000000002,-134.53,135.64,243.61,1,Pyroxene,Mafic
90,-0.134453,0.135728,0.2437010000000001,-134.45,135.73,243.7,1,Pyroxene,Mafic
91,-0.134372,0.13583,0.243799,-134.37,135.83,243.8,2,Olivine,Mafic
92,-0.134294,0.13592200000000002,0.24388800000000002,-134.29,135.92,243.89,1,Pyroxene,Mafic
93,-0.134212,0.136024,0.24398699999999998,-134.21,136.02,243.99,2,Olivine,Mafic
94,-0.134131,0.136127,0.244087,-134.13,136.13,244.09,2,Olivine,Mafic
95,-0.13405,0.136219,0.2441760000000001,-134.05,136.22,244.18,6,Alteration,Alteration
96,-0.133971,0.136322,0.24427600000000002,-133.97,136.32,244.28,2,Olivine,Mafic
97,-0.13389,0.136414,0.24436599999999997,-133.89,136.41,244.37,2,Olivine,Mafic
98,-0.13380799999999998,0.136517,0.24446500000000002,-133.81,136.52,244.46,2,Olivine,Mafic
99,-0.13372799999999999,0.136606,0.24442399999999997,-133.73,136.61,244.42,6,Alteration,Alteration
100,-0.133649,0.136704,0.244323,-133.65,136.7,244.32,7,Other,Other
101,-0.133572,0.136802,0.244227,-133.57,136.8,244.23,1,Pyroxene,Mafic
102,-0.133493,0.136889,0.24411799999999997,-133.49,136.89,244.12,4,Felsic,Felsic
103,-0.133414,0.136986,0.24401599999999998,-133.41,136.99,244.02,1,Pyroxene,Mafic
104,-0.133325,0.137072,0.24389699999999997,-133.32,137.07,243.9,2,Olivine,Mafic
105,-0.13323800000000002,0.136991,0.243856,-133.24,136.99,243.86,2,Olivine,Mafic
106,-0.133319,0.136899,0.243775,-133.32,136.9,243.78,2,Olivine,Mafic
107,-0.133399,0.1368,0.243838,-133.4,136.8,243.84,4,Felsic,Felsic
108,-0.13347799999999999,0.136713,0.24394699999999997,-133.48,136.71,243.95,2,Olivine,Mafic
109,-0.13355699999999998,0.13661600000000002,0.244049,-133.56,136.62,244.05,2,Olivine,Mafic
110,-0.133639,0.136519,0.244157,-133.64,136.52,244.16,7,Other,Other
111,-0.133716,0.136436,0.244452,-133.72,136.44,244.45,2,Olivine,Mafic
112,-0.133797,0.13633599999999998,0.244437,-133.8,136.34,244.44,2,Olivine,Mafic
113,-0.133879,0.136243,0.244333,-133.88,136.24,244.33,2,Olivine,Mafic
114,-0.13396,0.13614,0.2442280000000001,-133.96,136.14,244.23,6,Alteration,Alteration
115,-0.134045,0.136047,0.244121,-134.04,136.05,244.12,2,Olivine,Mafic
116,-0.134126,0.135944,0.244015,-134.13,135.94,244.02,1,Pyroxene,Mafic
117,-0.134207,0.13584200000000002,0.24391,-134.21,135.84,243.91,1,Pyroxene,Mafic
118,-0.13428800000000002,0.13575,0.24380700000000002,-134.29,135.75,243.81,1,Pyroxene,Mafic
119,-0.13437000000000002,0.135647,0.243702,-134.37,135.65,243.7,2,Olivine,Mafic
120,-0.134453,0.13555599999999998,0.243596,-134.45,135.56,243.6,2,Olivine,Mafic
121,-0.134534,0.135453,0.24349200000000001,-134.53,135.45,243.49,1,Pyroxene,Mafic
122,-0.134614,0.13536600000000001,0.243617,-134.61,135.37,243.62,1,Pyroxene,Mafic
123,-0.1347,0.13527999999999998,0.24432399999999999,-134.7,135.28,244.32,2,Olivine,Mafic
124,-0.13478199999999999,0.135186,0.244652,-134.78,135.19,244.65,2,Olivine,Mafic
125,-0.134863,0.13509200000000002,0.244469,-134.86,135.09,244.47,2,Olivine,Mafic
126,-0.134945,0.13499,0.244354,-134.95,134.99,244.35,2,Olivine,Mafic
127,-0.135028,0.134898,0.24425300000000005,-135.03,134.9,244.25,1,Pyroxene,Mafic
128,-0.13510899999999998,0.134796,0.244142,-135.11,134.8,244.14,2,Olivine,Mafic
129,-0.13519,0.134694,0.24403000000000002,-135.19,134.69,244.03,2,Olivine,Mafic
130,-0.135271,0.134602,0.24393,-135.27,134.6,243.93,2,Olivine,Mafic
131,-0.135351,0.1345,0.243819,-135.35,134.5,243.82,2,Olivine,Mafic
132,-0.135435,0.134409,0.243718,-135.44,134.41,243.72,2,Olivine,Mafic
133,-0.135515,0.13430699999999998,0.24363600000000002,-135.51,134.31,243.64,2,Olivine,Mafic
134,-0.135595,0.134218,0.243694,-135.6,134.22,243.69,2,Olivine,Mafic
135,-0.135675,0.13411900000000002,0.243746,-135.67,134.12,243.75,2,Olivine,Mafic
136,-0.135759,0.13402,0.243811,-135.76,134.02,243.81,2,Olivine,Mafic
137,-0.13583900000000002,0.133932,0.243945,-135.84,133.93,243.94,2,Olivine,Mafic
138,-0.135919,0.13383299999999998,0.24408600000000005,-135.92,133.83,244.09,2,Olivine,Mafic
139,-0.136,0.133745,0.24422,-136.0,133.74,244.22,2,Olivine,Mafic
140,-0.136081,0.13364700000000002,0.24436100000000002,-136.08,133.65,244.36,2,Olivine,Mafic
141,-0.136164,0.13355699999999998,0.244457,-136.16,133.56,244.46,2,Olivine,Mafic
142,-0.136245,0.133457,0.244486,-136.24,133.46,244.49,2,Olivine,Mafic
143,-0.136326,0.133357,0.244515,-136.33,133.36,244.52,2,Olivine,Mafic
144,-0.136406,0.133267,0.244542,-136.41,133.27,244.54,2,Olivine,Mafic
145,-0.136487,0.133167,0.244571,-136.49,133.17,244.57,1,Pyroxene,Mafic
146,-0.136571,0.133077,0.244598,-136.57,133.08,244.6,1,Pyroxene,Mafic
147,-0.136652,0.132977,0.244627,-136.65,132.98,244.63,2,Olivine,Mafic
148,-0.136732,0.13288699999999998,0.24465399999999998,-136.73,132.89,244.65,1,Pyroxene,Mafic
149,-0.13681300000000002,0.132787,0.24469200000000002,-136.81,132.79,244.69,1,Pyroxene,Mafic
150,-0.136897,0.132686,0.244732,-136.9,132.69,244.73,2,Olivine,Mafic
151,-0.136977,0.13259500000000002,0.244698,-136.98,132.6,244.7,2,Olivine,Mafic
152,-0.137067,0.132494,0.24457199999999998,-137.07,132.49,244.57,2,Olivine,Mafic
153,-0.137147,0.132404,0.244459,-137.15,132.4,244.46,1,Pyroxene,Mafic
154,-0.137227,0.132303,0.24433600000000005,-137.23,132.3,244.34,1,Pyroxene,Mafic
155,-0.137309,0.132212,0.244221,-137.31,132.21,244.22,2,Olivine,Mafic
156,-0.137389,0.13211199999999998,0.24405900000000005,-137.39,132.11,244.06,7,Other,Other
157,-0.137471,0.13201,0.243821,-137.47,132.01,243.82,1,Pyroxene,Mafic
158,-0.137549,0.13192,0.24363,-137.55,131.92,243.63,1,Pyroxene,Mafic
159,-0.137629,0.13182,0.24360300000000001,-137.63,131.82,243.6,1,Pyroxene,Mafic
160,-0.137711,0.13172999999999999,0.243732,-137.71,131.73,243.73,1,Pyroxene,Mafic
161,-0.137793,0.13163,0.243902,-137.79,131.63,243.9,1,Pyroxene,Mafic
162,-0.137881,0.13153,0.244221,-137.88,131.53,244.22,2,Olivine,Mafic
163,-0.137966,0.131439,0.24464299999999997,-137.97,131.44,244.64,1,Pyroxene,Mafic
164,-0.138045,0.131338,0.24453699999999998,-138.04,131.34,244.54,1,Pyroxene,Mafic
165,-0.138128,0.131247,0.244441,-138.13,131.25,244.44,1,Pyroxene,Mafic
166,-0.138208,0.13114800000000001,0.24433600000000005,-138.21,131.15,244.34,1,Pyroxene,Mafic
167,-0.138287,0.13105799999999998,0.24424099999999999,-138.29,131.06,244.24,1,Pyroxene,Mafic
168,-0.13836600000000002,0.130958,0.24413600000000002,-138.37,130.96,244.14,1,Pyroxene,Mafic
169,-0.138445,0.130858,0.244031,-138.45,130.86,244.03,1,Pyroxene,Mafic
170,-0.13852799999999998,0.130768,0.24393499999999999,-138.53,130.77,243.93,2,Olivine,Mafic
171,-0.13860699999999998,0.130669,0.24383000000000002,-138.61,130.67,243.83,1,Pyroxene,Mafic
172,-0.138686,0.130579,0.24374099999999999,-138.69,130.58,243.74,1,Pyroxene,Mafic
173,-0.138765,0.13047899999999998,0.243691,-138.76,130.48,243.69,1,Pyroxene,Mafic
174,-0.13885,0.130389,0.2437,-138.85,130.39,243.7,7,Other,Other
175,-0.138931,0.13028800000000001,0.24377600000000002,-138.93,130.29,243.78,2,Olivine,Mafic
176,-0.139013,0.130188,0.24385199999999999,-139.01,130.19,243.85,1,Pyroxene,Mafic
177,-0.139094,0.130097,0.24392399999999997,-139.09,130.1,243.92,2,Olivine,Mafic
178,-0.139176,0.129997,0.24400100000000002,-139.18,130.0,244.0,2,Olivine,Mafic
179,-0.139262,0.129905,0.244075,-139.26,129.9,244.08,1,Pyroxene,Mafic
180,-0.139354,0.129804,0.24415599999999998,-139.35,129.8,244.16,1,Pyroxene,Mafic
