PMC,x,y,z,x_mm,y_mm,z_mm,mineral_id,classification,parent_category
7,-0.142061,0.133019,0.245538,-142.06,133.02,245.54,2,Olivine,Mafic
8,-0.141941,0.133017,0.245554,-141.94,133.02,245.55,1,Pyroxene,Mafic
9,-0.14181,0.133017,0.245561,-141.81,133.02,245.56,4,Felsic,Felsic
10,-0.141689,0.133017,0.245567,-141.69,133.02,245.57,4,Felsic,Felsic
11,-0.141558,0.13301500000000002,0.245562,-141.56,133.02,245.56,4,Felsic,Felsic
12,-0.14143699999999998,0.13301500000000002,0.245558,-141.44,133.02,245.56,4,Felsic,Felsic
13,-0.141306,0.13301500000000002,0.24555300000000002,-141.31,133.02,245.55,1,Pyroxene,Mafic
14,-0.141184,0.13301400000000002,0.245548,-141.18,133.01,245.55,1,Pyroxene,Mafic
15,-0.14105299999999998,0.133012,0.24554299999999998,-141.05,133.01,245.54,1,Pyroxene,Mafic
16,-0.140932,0.133012,0.24553899999999998,-140.93,133.01,245.54,1,Pyroxene,Mafic
17,-0.140801,0.133012,0.245534,-140.8,133.01,245.53,1,Pyroxene,Mafic
18,-0.14068,0.133012,0.245529,-140.68,133.01,245.53,1,Pyroxene,Mafic
19,-0.140549,0.133012,0.24552399999999996,-140.55,133.01,245.52,1,Pyroxene,Mafic
20,-0.14041800000000002,0.13301,0.24551900000000002,-140.42,133.01,245.52,1,Pyroxene,Mafic
21,-0.140296,0.133009,0.245515,-140.3,133.01,245.52,1,Pyroxene,Mafic
22,-0.140175,0.133009,0.24550999999999998,-140.17,133.01,245.51,1,Pyroxene,Mafic
23,-0.140044,0.133009,0.2455050000000001,-140.04,133.01,245.51,7,Other,Other
24,-0.139923,0.133009,0.24550100000000002,-139.92,133.01,245.5,1,Pyroxene,Mafic
25,-0.139792,0.133007,0.245496,-139.79,133.01,245.5,1,Pyroxene,Mafic
26,-0.13967100000000002,0.13300599999999999,0.24549,-139.67,133.01,245.49,1,Pyroxene,Mafic
27,-0.13954,0.13300599999999999,0.24548499999999998,-139.54,133.01,245.48,2,Olivine,Mafic
28,-0.13941800000000001,0.13300599999999999,0.245475,-139.42,133.01,245.48,2,Olivine,Mafic
29,-0.139287,0.13300599999999999,0.24546500000000002,-139.29,133.01,245.46,1,Pyroxene,Mafic
30,-0.139166,0.13300399999999998,0.245456,-139.17,133.0,245.46,1,Pyroxene,Mafic
