PMC,x,y,z,x_mm,y_mm,z_mm,mineral_id,classification,parent_category
4,-0.13661700000000002,0.11586700000000001,0.243774,-136.62,115.87,243.77,1,Pyroxene,Mafic
5,-0.136587,0.11611600000000001,0.243788,-136.59,116.12,243.79,1,Pyroxene,Mafic
6,-0.136546,0.11637,0.243763,-136.55,116.37,243.76,4,Felsic,Felsic
7,-0.136516,0.11661300000000001,0.24374,-136.52,116.61,243.74,4,Felsic,Felsic
8,-0.136485,0.11686600000000001,0.243716,-136.48,116.87,243.72,4,Felsic,Felsic
9,-0.136455,0.117119,0.243693,-136.45,117.12,243.69,4,Felsic,Felsic
10,-0.136424,0.117373,0.24367199999999997,-136.42,117.37,243.67,4,Felsic,Felsic
11,-0.13639300000000001,0.117626,0.2436510000000001,-136.39,117.63,243.65,1,Pyroxene,Mafic
12,-0.136363,0.117878,0.24362899999999998,-136.36,117.88,243.63,4,Felsic,Felsic
13,-0.13633299999999998,0.118121,0.24360900000000002,-136.33,118.12,243.61,3,Alt. Mafic,Mafic
14,-0.136302,0.11837400000000001,0.243587,-136.3,118.37,243.59,2,Olivine,Mafic
15,-0.136272,0.118626,0.24357600000000001,-136.27,118.63,243.58,3,Alt. Mafic,Mafic
16,-0.136241,0.118878,0.24356799999999998,-136.24,118.88,243.57,2,Olivine,Mafic
17,-0.136211,0.119129,0.243561,-136.21,119.13,243.56,3,Alt. Mafic,Mafic
18,-0.13618,0.119371,0.243554,-136.18,119.37,243.55,1,Pyroxene,Mafic
19,-0.13615,0.11962300000000001,0.24354800000000001,-136.15,119.62,243.55,2,Olivine,Mafic
20,-0.13611900000000002,0.119874,0.24354099999999998,-136.12,119.87,243.54,2,Olivine,Mafic
21,-0.13608900000000002,0.120126,0.2435340000000001,-136.09,120.13,243.53,2,Olivine,Mafic
22,-0.13605899999999999,0.120377,0.243527,-136.06,120.38,243.53,6,Alteration,Alteration
23,-0.136028,0.120619,0.243523,-136.03,120.62,243.52,1,Pyroxene,Mafic
24,-0.135998,0.12087,0.24353000000000002,-136.0,120.87,243.53,4,Felsic,Felsic
25,-0.135968,0.121121,0.243536,-135.97,121.12,243.54,4,Felsic,Felsic
26,-0.135937,0.12137200000000001,0.24354299999999998,-135.94,121.37,243.54,4,Felsic,Felsic
27,-0.135897,0.12162200000000001,0.24355300000000002,-135.9,121.62,243.55,4,Felsic,Felsic
28,-0.13586600000000001,0.12187200000000001,0.24357399999999998,-135.87,121.87,243.57,4,Felsic,Felsic
29,-0.13583599999999998,0.12211199999999996,0.24359499999999998,-135.84,122.11,243.59,3,Alt. Mafic,Mafic
30,-0.13580599999999998,0.12236300000000001,0.243616,-135.81,122.36,243.62,7,Other,Other
31,-0.135775,0.12261400000000001,0.24363800000000002,-135.78,122.61,243.64,4,Felsic,Felsic
