PMC,x,y,z,x_mm,y_mm,z_mm,mineral_id,classification,parent_category
93,-0.12062300000000001,0.131043,0.251165,-120.62,131.04,251.17,7,Other,Other
94,-0.12087200000000001,0.131043,0.251203,-120.87,131.04,251.2,7,Other,Other
95,-0.121121,0.131043,0.251241,-121.12,131.04,251.24,7,Other,Other
96,-0.121371,0.131043,0.25128,-121.37,131.04,251.28,7,Other,Other
97,-0.12162,0.131043,0.251318,-121.62,131.04,251.32,7,Other,Other
98,-0.12187,0.131043,0.25135599999999997,-121.87,131.04,251.36,7,Other,Other
99,-0.12212,0.131043,0.251395,-122.12,131.04,251.4,7,Other,Other
100,-0.12237,0.131043,0.251433,-122.37,131.04,251.43,2,Olivine,Mafic
101,-0.12262,0.131043,0.251471,-122.62,131.04,251.47,4,Felsic,Felsic
102,-0.12287000000000001,0.131043,0.25151,-122.87,131.04,251.51,7,Other,Other
103,-0.12312200000000001,0.131043,0.251515,-123.12,131.04,251.52,7,Other,Other
104,-0.123378,0.131043,0.251463,-123.38,131.04,251.46,4,Felsic,Felsic
105,-0.123634,0.131043,0.25141199999999997,-123.63,131.04,251.41,7,Other,Other
106,-0.12388900000000001,0.131044,0.25136,-123.89,131.04,251.36,7,Other,Other
107,-0.124145,0.131044,0.251309,-124.15,131.04,251.31,7,Other,Other
108,-0.1244,0.131044,0.251257,-124.4,131.04,251.26,7,Other,Other
109,-0.124655,0.131044,0.251206,-124.66,131.04,251.21,7,Other,Other
110,-0.124911,0.131045,0.251154,-124.91,131.04,251.15,7,Other,Other
111,-0.125165,0.131045,0.251103,-125.16,131.04,251.1,7,Other,Other
112,-0.12542,0.131045,0.251051,-125.42,131.04,251.05,7,Other,Other
113,-0.125675,0.131046,0.251,-125.68,131.05,251.0,7,Other,Other
114,-0.12593,0.131046,0.250949,-125.93,131.05,250.95,7,Other,Other
115,-0.126184,0.131046,0.250897,-126.18,131.05,250.9,7,Other,Other
116,-0.12643800000000002,0.131047,0.250846,-126.44,131.05,250.85,7,Other,Other
117,-0.126693,0.131047,0.250795,-126.69,131.05,250.8,7,Other,Other
118,-0.126946,0.131047,0.250743,-126.95,131.05,250.74,7,Other,Other
119,-0.127201,0.131047,0.250691,-127.2,131.05,250.69,7,Other,Other
120,-0.12745399999999998,0.131048,0.250636,-127.45,131.05,250.64,7,Other,Other
121,-0.127708,0.131048,0.250582,-127.71,131.05,250.58,7,Other,Other
122,-0.12796,0.131048,0.250564,-127.96,131.05,250.56,7,Other,Other
123,-0.128212,0.131049,0.250546,-128.21,131.05,250.55,7,Other,Other
124,-0.12846400000000002,0.131049,0.250529,-128.46,131.05,250.53,7,Other,Other
125,-0.128716,0.131049,0.25051100000000004,-128.72,131.05,250.51,7,Other,Other
126,-0.128968,0.131049,0.250494,-128.97,131.05,250.49,7,Other,Other
127,-0.12922,0.131049,0.25047600000000003,-129.22,131.05,250.48,7,Other,Other
128,-0.129472,0.13105,0.250459,-129.47,131.05,250.46,7,Other,Other
129,-0.129724,0.13105,0.250442,-129.72,131.05,250.44,7,Other,Other
130,-0.129976,0.13105,0.250424,-129.98,131.05,250.42,7,Other,Other
131,-0.130227,0.13105,0.250407,-130.23,131.05,250.41,7,Other,Other
132,-0.13047899999999998,0.131051,0.25039,-130.48,131.05,250.39,6,Alteration,Alteration
134,-0.130708,0.13104000000000002,0.25035799999999997,-130.71,131.04,250.36,4,Felsic,Felsic
135,-0.130962,0.13104100000000002,0.250294,-130.96,131.04,250.29,7,Other,Other
136,-0.131216,0.13104100000000002,0.25023,-131.22,131.04,250.23,4,Felsic,Felsic
137,-0.131469,0.13104100000000002,0.250166,-131.47,131.04,250.17,4,Felsic,Felsic
138,-0.131723,0.13104200000000002,0.250103,-131.72,131.04,250.1,4,Felsic,Felsic
139,-0.131976,0.13104200000000002,0.250039,-131.98,131.04,250.04,4,Felsic,Felsic
140,-0.13222899999999999,0.131043,0.249975,-132.23,131.04,249.98,7,Other,Other
141,-0.132482,0.131043,0.24991100000000002,-132.48,131.04,249.91,3,Alt. Mafic,Mafic
142,-0.132735,0.131043,0.24984699999999999,-132.73,131.04,249.85,4,Felsic,Felsic
143,-0.13298800000000002,0.131044,0.249784,-132.99,131.04,249.78,4,Felsic,Felsic
144,-0.13324,0.131044,0.2497280000000001,-133.24,131.04,249.73,6,Alteration,Alteration
145,-0.133491,0.131045,0.24973099999999998,-133.49,131.04,249.73,6,Alteration,Alteration
146,-0.133743,0.131044,0.24973499999999998,-133.74,131.04,249.74,6,Alteration,Alteration
147,-0.133995,0.131045,0.24973800000000002,-134.0,131.04,249.74,6,Alteration,Alteration
148,-0.134246,0.131045,0.249741,-134.25,131.04,249.74,7,Other,Other
149,-0.134498,0.131045,0.249744,-134.5,131.04,249.74,7,Other,Other
150,-0.13475,0.131045,0.249748,-134.75,131.04,249.75,7,Other,Other
151,-0.135001,0.131045,0.2497510000000001,-135.0,131.04,249.75,4,Felsic,Felsic
152,-0.135252,0.131046,0.249754,-135.25,131.05,249.75,7,Other,Other
153,-0.13550399999999999,0.131046,0.249757,-135.5,131.05,249.76,7,Other,Other
154,-0.135755,0.131046,0.24973099999999998,-135.76,131.05,249.73,7,Other,Other
155,-0.136007,0.131047,0.249703,-136.01,131.05,249.7,6,Alteration,Alteration
156,-0.136258,0.131046,0.24967899999999998,-136.26,131.05,249.68,7,Other,Other
157,-0.13651,0.131047,0.24965500000000002,-136.51,131.05,249.66,6,Alteration,Alteration
158,-0.136761,0.131047,0.249631,-136.76,131.05,249.63,6,Alteration,Alteration
159,-0.137012,0.131048,0.24960700000000002,-137.01,131.05,249.61,7,Other,Other
160,-0.137264,0.131049,0.249583,-137.26,131.05,249.58,6,Alteration,Alteration
161,-0.137514,0.131049,0.249559,-137.51,131.05,249.56,2,Olivine,Mafic
162,-0.137766,0.131049,0.24953499999999998,-137.77,131.05,249.53,4,Felsic,Felsic
163,-0.138017,0.13105,0.249511,-138.02,131.05,249.51,4,Felsic,Felsic
164,-0.138268,0.13105,0.24949899999999997,-138.27,131.05,249.5,7,Other,Other
165,-0.138519,0.13105,0.249494,-138.52,131.05,249.49,6,Alteration,Alteration
166,-0.13877,0.13105,0.249489,-138.77,131.05,249.49,6,Alteration,Alteration
167,-0.139021,0.131051,0.249484,-139.02,131.05,249.48,7,Other,Other
168,-0.139272,0.131051,0.249479,-139.27,131.05,249.48,7,Other,Other
169,-0.139524,0.131051,0.24947399999999997,-139.52,131.05,249.47,7,Other,Other
170,-0.139775,0.131052,0.249469,-139.78,131.05,249.47,7,Other,Other
171,-0.140026,0.131052,0.249464,-140.03,131.05,249.46,7,Other,Other
172,-0.14027699999999999,0.131052,0.24945900000000001,-140.28,131.05,249.46,7,Other,Other
173,-0.140528,0.131053,0.249452,-140.53,131.05,249.45,7,Other,Other
175,-0.140809,0.13104000000000002,0.249412,-140.81,131.04,249.41,7,Other,Other
176,-0.141061,0.13104100000000002,0.249358,-141.06,131.04,249.36,6,Alteration,Alteration
177,-0.141312,0.13104100000000002,0.24930300000000002,-141.31,131.04,249.3,6,Alteration,Alteration
178,-0.141562,0.13104200000000002,0.249248,-141.56,131.04,249.25,6,Alteration,Alteration
179,-0.14181300000000002,0.13104200000000002,0.24919299999999997,-141.81,131.04,249.19,6,Alteration,Alteration
180,-0.14206300000000002,0.13104200000000002,0.249139,-142.06,131.04,249.14,6,Alteration,Alteration
181,-0.14231400000000002,0.131043,0.2490840000000001,-142.31,131.04,249.08,6,Alteration,Alteration
182,-0.142564,0.131043,0.249029,-142.56,131.04,249.03,7,Other,Other
183,-0.142814,0.131044,0.248975,-142.81,131.04,248.98,7,Other,Other
184,-0.143064,0.131044,0.24891999999999997,-143.06,131.04,248.92,7,Other,Other
185,-0.14331300000000002,0.131044,0.24885900000000002,-143.31,131.04,248.86,7,Other,Other
186,-0.143562,0.131045,0.24877800000000005,-143.56,131.04,248.78,7,Other,Other
187,-0.14381,0.131045,0.248698,-143.81,131.04,248.7,6,Alteration,Alteration
188,-0.144058,0.131046,0.248617,-144.06,131.05,248.62,6,Alteration,Alteration
189,-0.144306,0.131046,0.24853699999999998,-144.31,131.05,248.54,6,Alteration,Alteration
190,-0.144554,0.131047,0.24845599999999998,-144.55,131.05,248.46,6,Alteration,Alteration
191,-0.14480099999999999,0.131048,0.248376,-144.8,131.05,248.38,7,Other,Other
192,-0.145048,0.131048,0.24829600000000002,-145.05,131.05,248.3,6,Alteration,Alteration
193,-0.145295,0.131048,0.248216,-145.3,131.05,248.22,7,Other,Other
194,-0.145542,0.131049,0.248135,-145.54,131.05,248.14,6,Alteration,Alteration
195,-0.145789,0.131049,0.24805500000000005,-145.79,131.05,248.06,6,Alteration,Alteration
196,-0.146035,0.13105,0.247975,-146.04,131.05,247.98,6,Alteration,Alteration
197,-0.146282,0.13105,0.24789499999999998,-146.28,131.05,247.9,6,Alteration,Alteration
198,-0.146527,0.131051,0.247815,-146.53,131.05,247.82,7,Other,Other
199,-0.14677300000000001,0.131052,0.247736,-146.77,131.05,247.74,6,Alteration,Alteration
200,-0.147019,0.131052,0.247656,-147.02,131.05,247.66,6,Alteration,Alteration
201,-0.147264,0.131052,0.24757600000000002,-147.26,131.05,247.58,6,Alteration,Alteration
202,-0.147509,0.131053,0.24749699999999997,-147.51,131.05,247.5,6,Alteration,Alteration
203,-0.147754,0.131053,0.247417,-147.75,131.05,247.42,6,Alteration,Alteration
204,-0.14800000000000002,0.131054,0.24736,-148.0,131.05,247.36,6,Alteration,Alteration
205,-0.14824600000000002,0.131054,0.2473,-148.25,131.05,247.3,6,Alteration,Alteration
206,-0.148492,0.131055,0.247236,-148.49,131.06,247.24,6,Alteration,Alteration
207,-0.14873699999999998,0.131055,0.24717199999999998,-148.74,131.06,247.17,6,Alteration,Alteration
208,-0.148982,0.131056,0.247108,-148.98,131.06,247.11,6,Alteration,Alteration
209,-0.149227,0.131056,0.247044,-149.23,131.06,247.04,6,Alteration,Alteration
210,-0.149472,0.131057,0.24698,-149.47,131.06,246.98,6,Alteration,Alteration
211,-0.14971600000000002,0.131057,0.246916,-149.72,131.06,246.92,6,Alteration,Alteration
212,-0.14996099999999998,0.13105799999999998,0.24685300000000002,-149.96,131.06,246.85,6,Alteration,Alteration
213,-0.150205,0.13105799999999998,0.24678899999999998,-150.21,131.06,246.79,6,Alteration,Alteration
214,-0.150449,0.13105799999999998,0.246725,-150.45,131.06,246.72,6,Alteration,Alteration
216,-0.150853,0.13103199999999998,0.246629,-150.85,131.03,246.63,6,Alteration,Alteration
